Product SKU	Product Name	Product Description	Model	Category	Type
24392195	Westcott 8" Titanium Multi-Purpose/Heavy Duty Scissor	Westcott 8" Titanium Multi-Purpose/Heavy Duty Scissor, Blunt Tip, Navy (17509)	17509	Office Supplies	Business
24394952	Prismacolor Premier Watercolor Pencils, 12/Pack	Prismacolor Premier Watercolor Pencils, 12/Pack		Office Supplies	Personal
24401670	Brother TN-223 4-Pack Standard Yield Toner Cartridge	Brother TN-223 Black/Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 4/Pack (TN2234PK)	TN2234PK	Office Supplies	Business
24401678	Brother TN-431 3-Pack Standard Yield Toner Cartridge	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	TN4313PK	Office Supplies	Business
24401679	Brother TN-221 3-Pack Standard Yield Toner Cartridge	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN2213PK)	TN2213PK	Office Supplies	Business
24403551	HP 202X 3-Pack High Yield Toner Cartridge	HP 202X Cyan/Magenta/Yellow High Yield Toner Cartridge, 3/Pack (CF500XM)	CF500XM	Office Supplies	Business
24405521	Coastwide Professional™ J-Series Duo Bath Tissue Dispenser, Black/Metallic (CWJ2BT-S)	Coastwide Professional™ J-Series Duo Bath Tissue Dispenser, Black/Metallic (CWJ2BT-S)	CWJ2BT-S-CC	Inventory	Business
24405972	Coastwide Professional™ J-Series 1-Ply Small Core Bath Tissue, White, 3000 Sheets/Roll, 18 Rolls/Carton (CWJBT-3000)	Coastwide Professional™ J-Series 1-Ply Small Core Bath Tissue, White, 3000 Sheets/Roll, 18 Rolls/Carton (CWJBT-3000)		Inventory	Business
24413845	3D Display Board	3D Display Board		Office Supplies	Business
24416458	Baseline Permanent Markers, Fine Tip, Blue, 12/Pack (BL58129)	Baseline Permanent Markers, Fine Tip, Blue, 12/Pack (BL58129)		Office Supplies	Business
24417303	Baseline Retractable Ballpoint Pens, Medium Point, Black Ink, Dozen (BL58253)	Baseline Retractable Ballpoint Pens, Medium Point, Black Ink, Dozen (BL58253)		Office Supplies	Business
24418178	TRU RED Mini Desktop Stapler	TRU RED™ Mini Desktop Stapler, 10-Sheet Capacity, Black (TR58084)	TR58084	Office Supplies	Business
24418185	TRU RED Desktop Stapler Kit	TRU RED™ Desktop Stapler Kit, 20-Sheet Capacity, Black (TR58081)	TR58081	Office Supplies	Business
24418465	Coastwide Professional™ 20" Toilet Plunger, Black (CW60568)	Coastwide Professional™ 20" Toilet Plunger, Black (CW60568)	CW60568-CC	Inventory	Business
24420005	Coastwide Professional™ 36" Lobby Broom, Gray (CW61069-CC)	Coastwide Professional™ 36" Lobby Broom, Gray (CW61069-CC)	CW61069-CC	Inventory	Business
24420229	Staedtler Pigment Liner 0.5mm Pen	Staedtler Pigment Liner 0.5mm Pen		Office Supplies	Business
24421012	Clorox Bathroom Disinfecting Cleaner, 30 fl. oz.	Clorox Bathroom Disinfecting Cleaner, Original Scent, 30 fl. oz. (08033)	8033	Inventory	Business
24424014	TRU RED Premium 3-Subject Notebook, 8" x 10.5"	TRU RED Premium 3-Subject Notebook, 8" x 10.5"		Office Supplies	Business
24428037	Staples 3/16" Bubble Roll, 12" x 30'	Staples 3/16" Bubble Roll, 12" x 30', Clear (ST59152)	ST59152	Office Supplies	Business
24428041	Staples 3/16" Bubble Roll, 12" x 200'	Staples 3/16" Bubble Roll, 12" x 200', Clear (ST59156)	ST59156	Office Supplies	Business
24428785	Brother TN8502PK Black Toner High Yield Cartridge, Print Up to 8,000 Pages, 2/Pack	Brother TN-850 Black Toner High Yield Cartridge, 2/Pack (TN8502PK)	TN8502PK	Office Supplies	Business
24429055	Staples 5/16" Bubble Roll, 12" x 125'	Staples 5/16" Bubble Roll, 12" x 125', Clear (ST59158)	ST59158	Office Supplies	Business
